# z1_ini,z2_ini,a11,a12,a21,a22,t,z1,z2,sol_z1,sol_z2
1.0,1.0,0.0,-2.0,-1.0,1.0,0.0,1.0,1.0,{'z1_solu': 'z1=-exp(2*t)/3 + 4*exp(-t)/3', 'z2_solu': 'z2=exp(2*t)/3 + 2*exp(-t)/3'}
1.0,1.0,0.0,-2.0,-1.0,1.0,0.020202020202020204,0.9595904349095471,1.0004109118372941,{'z1_solu': 'z1=-exp(2*t)/3 + 4*exp(-t)/3', 'z2_solu': 'z2=exp(2*t)/3 + 2*exp(-t)/3'}
1.0,1.0,0.0,-2.0,-1.0,1.0,0.04040404040404041,0.9191474914332849,1.0016551481914309,{'z1_solu': 'z1=-exp(2*t)/3 + 4*exp(-t)/3', 'z2_solu': 'z2=exp(2*t)/3 + 2*exp(-t)/3'}
1.0,1.0,0.0,-2.0,-1.0,1.0,0.06060606060606061,0.8786371391514264,1.0037507410982385,{'z1_solu': 'z1=-exp(2*t)/3 + 4*exp(-t)/3', 'z2_solu': 'z2=exp(2*t)/3 + 2*exp(-t)/3'}
1.0,1.0,0.0,-2.0,-1.0,1.0,0.08080808080808081,0.8380245975843803,1.0067167926102571,{'z1_solu': 'z1=-exp(2*t)/3 + 4*exp(-t)/3', 'z2_solu': 'z2=exp(2*t)/3 + 2*exp(-t)/3'}
1.0,1.0,0.0,-2.0,-1.0,1.0,0.10101010101010102,0.7972742922059488,1.010573512384616,{'z1_solu': 'z1=-exp(2*t)/3 + 4*exp(-t)/3', 'z2_solu': 'z2=exp(2*t)/3 + 2*exp(-t)/3'}
1.0,1.0,0.0,-2.0,-1.0,1.0,0.12121212121212122,0.7563498089040978,1.0153422569513157,{'z1_solu': 'z1=-exp(2*t)/3 + 4*exp(-t)/3', 'z2_solu': 'z2=exp(2*t)/3 + 2*exp(-t)/3'}
1.0,1.0,0.0,-2.0,-1.0,1.0,0.14141414141414144,0.7152138468200637,1.0210455707285881,{'z1_solu': 'z1=-exp(2*t)/3 + 4*exp(-t)/3', 'z2_solu': 'z2=exp(2*t)/3 + 2*exp(-t)/3'}
1.0,1.0,0.0,-2.0,-1.0,1.0,0.16161616161616163,0.673828169493814,1.027707228854808,{'z1_solu': 'z1=-exp(2*t)/3 + 4*exp(-t)/3', 'z2_solu': 'z2=exp(2*t)/3 + 2*exp(-t)/3'}
1.0,1.0,0.0,-2.0,-1.0,1.0,0.18181818181818182,0.6321535542410148,1.0353522819093464,{'z1_solu': 'z1=-exp(2*t)/3 + 4*exp(-t)/3', 'z2_solu': 'z2=exp(2*t)/3 + 2*exp(-t)/3'}
