# z1_ini,z2_ini,a11,a12,a21,a22,t,z1,z2,sol_z1,sol_z2
22.0,1.0,0.0,11.0,-11.0,0.0,0.0,22.0,1.0,{'z1_solu': 'z1=sin(11*t) + 22*cos(11*t)', 'z2_solu': 'z2=-22*sin(11*t) + cos(11*t)'}
22.0,1.0,0.0,11.0,-11.0,0.0,0.020202020202020204,21.679419622023968,-3.8733402706452438,{'z1_solu': 'z1=sin(11*t) + 22*cos(11*t)', 'z2_solu': 'z2=-22*sin(11*t) + cos(11*t)'}
22.0,1.0,0.0,11.0,-11.0,0.0,0.04040404040404041,20.29264908942412,-8.556190328264924,{'z1_solu': 'z1=sin(11*t) + 22*cos(11*t)', 'z2_solu': 'z2=-22*sin(11*t) + cos(11*t)'}
22.0,1.0,0.0,11.0,-11.0,0.0,0.06060606060606061,17.907889540162596,-12.818248406757267,{'z1_solu': 'z1=sin(11*t) + 22*cos(11*t)', 'z2_solu': 'z2=-22*sin(11*t) + cos(11*t)'}
22.0,1.0,0.0,11.0,-11.0,0.0,0.08080808080808081,14.64242304160545,-16.449907217691592,{'z1_solu': 'z1=sin(11*t) + 22*cos(11*t)', 'z2_solu': 'z2=-22*sin(11*t) + cos(11*t)'}
22.0,1.0,0.0,11.0,-11.0,0.0,0.10101010101010102,10.656844678478983,-19.272562400956808,{'z1_solu': 'z1=sin(11*t) + 22*cos(11*t)', 'z2_solu': 'z2=-22*sin(11*t) + cos(11*t)'}
22.0,1.0,0.0,11.0,-11.0,0.0,0.12121212121212122,6.147164514029075,-21.147396256689895,{'z1_solu': 'z1=sin(11*t) + 22*cos(11*t)', 'z2_solu': 'z2=-22*sin(11*t) + cos(11*t)'}
22.0,1.0,0.0,11.0,-11.0,0.0,0.14141414141414144,1.3351678485851801,-21.982204776047933,{'z1_solu': 'z1=sin(11*t) + 22*cos(11*t)', 'z2_solu': 'z2=-22*sin(11*t) + cos(11*t)'}
22.0,1.0,0.0,11.0,-11.0,0.0,0.16161616161616163,-3.5424921436336407,-21.735932218616576,{'z1_solu': 'z1=sin(11*t) + 22*cos(11*t)', 'z2_solu': 'z2=-22*sin(11*t) + cos(11*t)'}
22.0,1.0,0.0,11.0,-11.0,0.0,0.18181818181818182,-8.245932977211451,-20.420690226712136,{'z1_solu': 'z1=sin(11*t) + 22*cos(11*t)', 'z2_solu': 'z2=-22*sin(11*t) + cos(11*t)'}
22.0,1.0,0.0,11.0,-11.0,0.0,0.20202020202020204,-12.543840235201326,-18.10116217688092,{'z1_solu': 'z1=sin(11*t) + 22*cos(11*t)', 'z2_solu': 'z2=-22*sin(11*t) + cos(11*t)'}
22.0,1.0,0.0,11.0,-11.0,0.0,0.22222222222222224,-16.224843572647185,-14.89142206248716,{'z1_solu': 'z1=sin(11*t) + 22*cos(11*t)', 'z2_solu': 'z2=-22*sin(11*t) + cos(11*t)'}
22.0,1.0,0.0,11.0,-11.0,0.0,0.24242424242424243,-19.107911874051098,-10.949324354200895,{'z1_solu': 'z1=sin(11*t) + 22*cos(11*t)', 'z2_solu': 'z2=-22*sin(11*t) + cos(11*t)'}
22.0,1.0,0.0,11.0,-11.0,0.0,0.26262626262626265,-21.05125633271727,-6.468740744088544,{'z1_solu': 'z1=sin(11*t) + 22*cos(11*t)', 'z2_solu': 'z2=-22*sin(11*t) + cos(11*t)'}
22.0,1.0,0.0,11.0,-11.0,0.0,0.2828282828282829,-21.95930360005069,-1.670025568906313,{'z1_solu': 'z1=sin(11*t) + 22*cos(11*t)', 'z2_solu': 'z2=-22*sin(11*t) + cos(11*t)'}
