# z1_ini,z2_ini,a11,a12,a21,a22,t,z1,z2,sol_z1,sol_z2
28.0,11.0,0.0,13.0,-13.0,0.0,0.0,28.0,11.0,{'z1_solu': 'z1=11*sin(13*t) + 28*cos(13*t)', 'z2_solu': 'z2=-28*sin(13*t) + 11*cos(13*t)'}
28.0,11.0,0.0,13.0,-13.0,0.0,0.020202020202020204,29.89571580324432,3.3535319607315657,{'z1_solu': 'z1=11*sin(13*t) + 28*cos(13*t)', 'z2_solu': 'z2=-28*sin(13*t) + 11*cos(13*t)'}
28.0,11.0,0.0,13.0,-13.0,0.0,0.04040404040404041,29.74127221582377,-4.522911339421661,{'z1_solu': 'z1=11*sin(13*t) + 28*cos(13*t)', 'z2_solu': 'z2=-28*sin(13*t) + 11*cos(13*t)'}
28.0,11.0,0.0,13.0,-13.0,0.0,0.06060606060606061,27.54726052022052,-12.089186814302288,{'z1_solu': 'z1=11*sin(13*t) + 28*cos(13*t)', 'z2_solu': 'z2=-28*sin(13*t) + 11*cos(13*t)'}
28.0,11.0,0.0,13.0,-13.0,0.0,0.08080808080808081,23.4641395216551,-18.826421765919914,{'z1_solu': 'z1=11*sin(13*t) + 28*cos(13*t)', 'z2_solu': 'z2=-28*sin(13*t) + 11*cos(13*t)'}
28.0,11.0,0.0,13.0,-13.0,0.0,0.10101010101010102,17.771917530131653,-24.27259663287386,{'z1_solu': 'z1=11*sin(13*t) + 28*cos(13*t)', 'z2_solu': 'z2=-28*sin(13*t) + 11*cos(13*t)'}
28.0,11.0,0.0,13.0,-13.0,0.0,0.12121212121212122,10.860950222245293,-28.054228919539202,{'z1_solu': 'z1=11*sin(13*t) + 28*cos(13*t)', 'z2_solu': 'z2=-28*sin(13*t) + 11*cos(13*t)'}
28.0,11.0,0.0,13.0,-13.0,0.0,0.14141414141414144,3.205171208353093,-29.91198551626329,{'z1_solu': 'z1=11*sin(13*t) + 28*cos(13*t)', 'z2_solu': 'z2=-28*sin(13*t) + 11*cos(13*t)'}
28.0,11.0,0.0,13.0,-13.0,0.0,0.16161616161616163,-4.670408926701098,-29.718466993729514,{'z1_solu': 'z1=11*sin(13*t) + 28*cos(13*t)', 'z2_solu': 'z2=-28*sin(13*t) + 11*cos(13*t)'}
28.0,11.0,0.0,13.0,-13.0,0.0,0.18181818181818182,-12.225706290058548,-27.486944277406007,{'z1_solu': 'z1=11*sin(13*t) + 28*cos(13*t)', 'z2_solu': 'z2=-28*sin(13*t) + 11*cos(13*t)'}
28.0,11.0,0.0,13.0,-13.0,0.0,0.20202020202020204,-18.942601030008884,-23.37044856689547,{'z1_solu': 'z1=11*sin(13*t) + 28*cos(13*t)', 'z2_solu': 'z2=-28*sin(13*t) + 11*cos(13*t)'}
28.0,11.0,0.0,13.0,-13.0,0.0,0.22222222222222224,-24.36046845645109,-17.65127691081446,{'z1_solu': 'z1=11*sin(13*t) + 28*cos(13*t)', 'z2_solu': 'z2=-28*sin(13*t) + 11*cos(13*t)'}
28.0,11.0,0.0,13.0,-13.0,0.0,0.24242424242424243,-28.107767313949093,-10.721633113704982,{'z1_solu': 'z1=11*sin(13*t) + 28*cos(13*t)', 'z2_solu': 'z2=-28*sin(13*t) + 11*cos(13*t)'}
28.0,11.0,0.0,13.0,-13.0,0.0,0.26262626262626265,-29.92751897744207,-3.0567315640803105,{'z1_solu': 'z1=11*sin(13*t) + 28*cos(13*t)', 'z2_solu': 'z2=-28*sin(13*t) + 11*cos(13*t)'}
